State,Hospital,POPESTIMATE2018,Density,Latitude,Longitude
TX,798,28701845.0,2.78,31.4757,-99.3312
CA,569,39557045.0,1.44,37.1841,-119.4696
FL,350,21299325.0,1.64,28.6305,-82.4497
OH,290,11689442.0,2.48,40.2862,-82.7937
PA,279,12807060.0,2.18,40.8781,-77.7996
NY,276,19542209.0,1.41,42.9538,-75.5268
LA,261,4659978.0,5.60,31.0689,-91.9968
GA,230,10519475.0,2.19,32.6415,-83.4426
IL,226,12741080.0,1.77,40.0417,-89.1965
IN,190,6691878.0,2.84,39.8942,-86.2816
MI,185,9995915.0,1.85,44.3467,-85.4102
MO,181,6126452.0,2.95,38.3566,-92.458
TN,176,6770010.0,2.60,35.858000000000004,-86.3505
WI,169,5813568.0,2.91,44.6243,-89.9941
KS,169,2911505.0,5.80,38.4937,-98.3804
OK,165,3943079.0,4.18,35.5889,-97.4943
NC,157,10383620.0,1.51,35.5557,-79.3877
NJ,150,8908520.0,1.68,40.1907,-74.6728
IA,145,3156145.0,4.59,42.0751,-93.49600000000001
MN,144,5611179.0,2.57,46.2807,-94.3053
VA,143,8517685.0,1.68,37.5215,-78.8537
AZ,142,7171646.0,1.98,34.2744,-111.6602
MA,136,6902149.0,1.97,42.2596,-71.8083
AL,133,4887871.0,2.72,32.7794,-86.8287
WA,133,7535591.0,1.76,47.3826,-120.4472
MS,129,2986530.0,4.32,32.7364,-89.6678
KY,128,4468402.0,2.86,37.5347,-85.3021
AR,122,3013825.0,4.05,34.8938,-92.4426
CO,119,5695564.0,2.09,38.9972,-105.5478
NE,111,1929268.0,5.75,41.5378,-99.7951
SC,108,5084127.0,2.12,33.9169,-80.8964
SD,77,882235.0,8.73,44.4443,-100.2263
NV,76,3034392.0,2.50,39.3289,-116.6312
PR,75,3195153.0,2.35,18.2001,-66.6645
OR,74,4190713.0,1.77,43.9336,-120.5583
MD,71,6042718.0,1.17,39.055,-76.7909
WV,71,1805832.0,3.93,38.6409,-80.6227
MT,69,1062305.0,6.50,47.0527,-109.6333
UT,68,3161105.0,2.15,39.3055,-111.6703
NM,62,2095428.0,2.96,34.4071,-106.1126
ND,57,760077.0,7.50,47.4501,-100.4659
ID,55,1754208.0,3.14,44.3509,-114.613
ME,52,1338404.0,3.89,45.3695,-69.2428
CT,40,3572665.0,1.12,41.6219,-72.7273
WY,37,577737.0,6.40,42.9957,-107.5512
NH,36,1356458.0,2.65,43.6805,-71.5811
AK,32,737438.0,4.34,64.0685,-152.2782
HI,29,1420491.0,2.04,20.2927,-156.3737
RI,20,1057315.0,1.89,41.6762,-71.5562
VT,18,626299.0,2.87,44.0687,-72.6658
DE,15,967171.0,1.55,38.9896,-75.505
DC,15,702455.0,2.14,38.9101,-77.0147
