State,Unemployment
Hawaii,2.1
North Dakota,2.6
New Hampshire,2.6
Maine,2.7
Vermont,2.8
Nebraska,2.8
Iowa,2.8
Wisconsin,2.9
Idaho,2.9
Colorado,3
Utah,3.1
Minnesota,3.2
Indiana,3.2
Kansas,3.4
Tennessee,3.4
South Dakota,3.4
Virginia,3.4
Massachusetts,3.5
Missouri,3.6
Arkansas,3.8
Alabama,3.8
Wyoming,3.9
Florida,3.9
Oklahoma,4
Texas,4
Kentucky,4
Montana,4.1
Oregon,4.1
Maryland,4.3
Delaware,4.3
California,4.3
South Carolina,4.4
Ohio,4.4
Louisiana,4.4
Georgia,4.4
Rhode Island,4.5
North Carolina,4.5
Mississippi,4.5
Connecticut,4.5
Illinois,4.6
New York,4.6
New Jersey,4.6
Michigan,4.7
Washington,4.8
Pennsylvania,4.8
Nevada,4.9
Arizona,4.9
West Virginia,5.4
New Mexico,5.6
District of Columbia,5.6
Alaska,7.3
